accession,name,length,organism,label,subcategory,pfam_ids,go_terms,function_description,sequence_identity_to_nearest_threat,is_hard_negative
Q1I8U1,MONAL_PSEE4,271,Pseudomonas entomophila (strain L48),threat,pore_forming_toxin,['PF18063'],"['GO:0005576:C:extracellular region', 'GO:0020002:C:host cell plasma membrane', 'GO:0046930:C:pore complex', 'GO:0015288:F:porin activity', 'GO:0090729:F:toxin activity', 'GO:0044179:P:hemolysis in another organism', 'GO:0006811:P:monoatomic ion transport', 'GO:0051260:P:protein homooligomerization']","Pore-forming toxin that contributes to the virulence of P.entomophila against Drosophila, playing an important role in host intestinal damage and lethality. Displays cytolytic and hemolytic activity",,False
O18423,TXL_EISFE,297,Eisenia fetida,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity', 'GO:0042742:P:defense response to bacterium', 'GO:0031640:P:killing of cells of another organism', 'GO:0006811:P:monoatomic ion transport']","Pore-forming toxin that defensively acts against parasitic microorganisms by forming pores in sphingomyelin-containing membranes (PubMed:12676961, PubMed:9478988). Has hemolytic activity and is also cytotoxic to spermatozoa of some species of invertebrates and many species of vertebrates and to amphibian larvae, guinea pig polymorphonuclear leukocytes, chicken fibroblasts, normal spleen cells and various tumor cells (PubMed:10684578). Is lethal for various species of reptiles, amphibian, birds and mammals. Induces smooth muscle contraction (PubMed:9210594). It binds sphingomyelin and induces hemolysis in the same manner as lysenin-related protein 2, and is 10-fold more effective than lysenin-related protein 1 (PubMed:15274631)",,False
B9W5G6,ACTPC_ACTFR,179,Actinia fragacea,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0042802:F:identical protein binding', 'GO:0008289:F:lipid binding', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming toxin (PFT) that consists of a crown-shaped octamer or nonamer that forms cation-selective hydrophilic pores of about 1.5 nm (inside) and 13 nm (outside) (PubMed:21300287, PubMed:25716479). It causes cardiac stimulation and cytolysis (EC(50)=1.6 nM on erythrocytes) (PubMed:19563820, PubMed:25759390, PubMed:31295915). Interestingly, the Phe-16 is crucial for hemolysis (PubMed:25759390). Pore formation is a multi-step process that involves specific recognition of membrane sphingomyelin (but neither cholesterol nor phosphatidylcholine) using aromatic rich region and adjacent phosphocholine (POC) binding site, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers (PubMed:19563820, PubMed:25716479). It is probable that a dimeric form is an assembly intermediate before the complete oligomerization (PubMed:25716479). The formation of stable pores occurs only in vesicles composed of DOPC/SM (there is no oligomerization when the PFT is treated with vesicles of DOPC or SM alone) (PubMed:25716479). The transmembrane pore displays 8 lateral perforations, one at each subunit-subunit interface, partially occupied by the acyl-chain region of a bridging lipid (PubMed:25716479). Each pore contains 24 lipid molecules, firmly bound to each subunit, that is, 3 lipids (L1, L2, L3, L4 and/or L5) are associated to each subunit (PubMed:25716479). Lipid L1 bridges 2 subunits, whereas lipids L2 and L3 bind to sites at single subunit (PubMed:25716479)",,False
A0A8B7DWS6,ACTL1_HYDVU,186,Hydra vulgaris,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming protein that forms hydrophilic pores and causes cytolysis (PubMed:24768765, PubMed:31513812). Compared to equinatoxin-2 (AC P61914), it reveals lower cytolysis activity (5-12-fold difference, tested on erythrocytes), a larger pore size (probably 2-3 nm) and different affinity to membrane lipids (100-fold lower affinity to sphingomyelin) (PubMed:24768765). Binds to sulfatides (SFT) as well as to the two sphingolipids, lysophosphatidic acid (LPA) and sphingosine-1-phosphate (S1P) (PubMed:31513812). It seems to bind more strongly to LPA than to S1P and SFT (PubMed:31513812). Shows cytolytic activity on HeLa cells, with a different potency than its paralogs (from most potent to less potent: HALT-4>HALT-6~HALT-1>HALT-3>HALT-7>HALT-2) (PubMed:31513812). Pore formation is a multi-step process that involves specific recognition of membrane lipid by a protein aromatic residues rich region, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers (By similarity) (PubMed:31513812). In vitro, binds to the folate receptor alpha (FOLR1), a GPI-anchored membrane protein that plays a major role in the uptake of folate/folic acid into cells via endocytosis, suggesting a possible involvement of this receptor in the mechanism of HALT-1-induced cell lysis (PubMed:28478056). In vivo, does not cause visible paralysis in larvae of the blowfly Sarcophaga faculata, the most common arthropod prey of Hydra (PubMed:24768765)",,False
Q91453,STXB_SYNHO,700,Synanceia horrida,threat,pore_forming_toxin,"['PF24674', 'PF13765', 'PF00622', 'PF21109', 'PF18078']","['GO:0005576:C:extracellular region', 'GO:0015459:F:potassium channel regulator activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism']","This lethal (towards mammals) heterodimer induces hemolytic activities due to its ability to form pores in the cell membrane (PubMed:12177053, PubMed:1790672, PubMed:26627714, PubMed:9271089). The pore may be composed of 10 SNTX-alpha/beta heterodimers (PubMed:26627714). The toxin elicits potent hypotension which is endothelium-dependent and appears to be mediated by the nitric oxide pathway and activation of potassium channels (PubMed:11931843, PubMed:8310447). In addition, it displays edema-inducing activities, increases vascular permeability. It also shows myotoxic activities and interferes irreversibly with neuromuscular function (PubMed:8079369). It also induces irreversible platelet aggregation in rabbit or rat but not in human or mouse whole blood (PubMed:8533137). In addition, it has been observed to increase spontaneous quantal acetylcholine release from isolated frog cutaneous pectoris motor endings (PubMed:8921306)",,False
A0A515MEM9,ACTPE_ACTFR,179,Actinia fragacea,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0042802:F:identical protein binding', 'GO:0008289:F:lipid binding', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming toxin (PFT) that consists of a crown-shaped octamer or nonamer that forms cation-selective hydrophilic pores of about 1.5 nm (inside) and 13 nm (outside) and causes cytolysis (By similarity). It causes cardiac stimulation (By similarity). Also causes hemolysis (HC(50)=1.6 nM) (PubMed:31295915). Interestingly, the Phe-16 is crucial for hemolysis (By similarity). Pore formation is a multi-step process that involves specific recognition of membrane sphingomyelin (but neither cholesterol nor phosphatidylcholine) using aromatic rich region and adjacent phosphocholine (POC) binding site, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers (By similarity). It is probable that a dimeric form is an assembly intermediate before the complete oligomerization (By similarity). The formation of stable pores occurs only in vesicles composed of DOPC/SM (there is no oligomerization when the PFT is treated with vesicles of DOPC or SM alone) (By similarity). The transmembrane pore displays 8 lateral perforations, one at each subunit-subunit interface, partially occupied by the acyl-chain region of a bridging lipid (By similarity). Each pore contains 24 lipid molecules, firmly bound to each subunit, that is, 3 lipids (L1, L2, L3, L4 and/or L5) are associated to each subunit (By similarity). Lipid L1 bridges 2 subunits, whereas lipids L2 and L3 bind to sites at single subunit (By similarity)",,False
A0A515MEN7,ACTPB_ACTFR,179,Actinia fragacea,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0042802:F:identical protein binding', 'GO:0008289:F:lipid binding', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming toxin (PFT) that consists of a crown-shaped octamer or nonamer that forms cation-selective hydrophilic pores of about 1.5 nm (inside) and 13 nm (outside) and causes cytolysis (By similarity). It causes cardiac stimulation (By similarity). Also causes hemolysis (HC(50)=0.3 nM) (PubMed:31295915). Interestingly, the Phe-16 is crucial for hemolysis (By similarity). Pore formation is a multi-step process that involves specific recognition of membrane sphingomyelin (but neither cholesterol nor phosphatidylcholine) using aromatic rich region and adjacent phosphocholine (POC) binding site, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers (By similarity). It is probable that a dimeric form is an assembly intermediate before the complete oligomerization (By similarity). The formation of stable pores occurs only in vesicles composed of DOPC/SM (there is no oligomerization when the PFT is treated with vesicles of DOPC or SM alone) (By similarity). The transmembrane pore displays 8 lateral perforations, one at each subunit-subunit interface, partially occupied by the acyl-chain region of a bridging lipid (By similarity). Each pore contains 24 lipid molecules, firmly bound to each subunit, that is, 3 lipids (L1, L2, L3, L4 and/or L5) are associated to each subunit (By similarity). Lipid L1 bridges 2 subunits, whereas lipids L2 and L3 bind to sites at single subunit (By similarity)",,False
P0DQV6,ACTL4_HYDVU,302,Hydra vulgaris,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming protein that forms hydrophilic pores and causes cytolysis (PubMed:31513812). Compared to equinatoxin-2 (AC P61914), it reveals lower cytolysis activity (5-12-fold difference, tested on erythrocytes), a larger pore size (probably 2-3 nm) and different affinity to membrane lipids (100-fold lower affinity to sphingomyelin) (By similarity). Binds to sulfatides (PubMed:31513812). Shows cytolytic activity on HeLa cells, with a different potency than its paralogs (from most potent to less potent: HALT-4>HALT-6~HALT-1>HALT-3>HALT-7>HALT-2) (PubMed:31513812). This recombinant protein has the highest cytolytic activity compared to other rHALT proteins, probably due to its longer N-terminal sequence that may penetrate the lipid bilayer more effectively (PubMed:31513812). Pore formation is a multi-step process that involves specific recognition of membrane lipid by a protein aromatic residues rich region, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers (By similarity). In vitro, binds to the folate receptor alpha (FOLR1), a GPI-anchored membrane protein that plays a major role in the uptake of folate/folic acid into cells via endocytosis, suggesting a possible involvement of this receptor in the mechanism of HALT-1-induced cell lysis (By similarity). In vivo, does not cause visible paralysis in larvae of the blowfly Sarcophaga faculata, the most common arthropod prey of Hydra (By similarity)",,False
P0DQP0,PV22_POMMA,286,Pomacea maculata,threat,pore_forming_toxin,['PF19193'],"['GO:0005576:C:extracellular region', 'GO:0044218:C:other organism cell membrane', 'GO:0030246:F:carbohydrate binding', 'GO:0045735:F:nutrient reservoir activity', 'GO:0090729:F:toxin activity']","The egg defensive protein perivitellin-2 is a pore-forming two-subunit glycoprotein that affects both the nervous and digestive systems of mammals (PubMed:32231667, PubMed:32446810). In addition, it is a source of both structural and energetic molecules during embryonic development (By similarity). The tachylectin subunit (31 kDa) binds target membranes while the MACPF subunit (67 kDa) disrupts lipid bilayers forming large pores (inner diameter of about 5.6 nm) altering the plasma membrance conductance (PubMed:32446810). Both in vivo and in vitro, the protein shows wide pH range stability and is resistant to enzymatic proteolysis from gastrointestinal environments (PubMed:32231667). It is cytotoxic to both epithelial and immune cells from the digestive system of mammals (PubMed:32231667). It induces enterocyte death by a lytic mechanism and disrupts enterocyte monolayers in a dose-dependent manner (PubMed:32231667). After oral administration to mice, it binds enterocytes and induces large dose-dependent morphological changes on their small intestine mucosa, reducing the absorptive surface (PubMed:32231667). Additionally, it is detected in the Peyer's patches where it activates lymphoid follicles and triggers apoptosis (PubMed:32231667). The toxin can also traverse the intestinal barrier and induce oral adaptive immunity with evidence of circulating antibody response (PubMed:32231667). The toxin also shows hemagglutination properties thanks to the tachylectin subunit, but has no hemolytic activity (PubMed:32446810). In addition to enterotoxin activity, the toxin also acts as a neurotoxin, since an intraperitoneal injection can induce paralysis of the mice rear limbs, followed by death (PubMed:32446810)",,False
P0DQO9,PV21_POMMA,565,Pomacea maculata,threat,pore_forming_toxin,['PF01823'],"['GO:0005576:C:extracellular region', 'GO:0016020:C:membrane', 'GO:0044218:C:other organism cell membrane', 'GO:0045735:F:nutrient reservoir activity', 'GO:0090729:F:toxin activity', 'GO:0022829:F:wide pore channel activity', 'GO:0051607:P:defense response to virus']","The egg defensive protein perivitellin-2 is a pore-forming two-subunit glycoprotein that affects both the nervous and digestive systems of mammals (PubMed:32231667, PubMed:32446810). In addition, it is a source of both structural and energetic molecules during embryonic development (By similarity). The tachylectin subunit (31 kDa) binds target membranes while the MACPF subunit (67 kDa) disrupts lipid bilayers forming large pores (inner diameter of about 5.6 nm) altering the plasma membrance conductance (PubMed:32446810). Both in vivo and in vitro, the protein shows wide pH range stability and is resistant to enzymatic proteolysis from gastrointestinal environments (PubMed:32231667). It is cytotoxic to both epithelial and immune cells from the digestive system of mammals (PubMed:32231667). It induces enterocyte death by a lytic mechanism and disrupts enterocyte monolayers in a dose-dependent manner (PubMed:32231667). After oral administration to mice, it binds enterocytes and induces large dose-dependent morphological changes on their small intestine mucosa, reducing the absorptive surface (PubMed:32231667). Additionally, it is detected in the Peyer's patches where it activates lymphoid follicles and triggers apoptosis (PubMed:32231667). The toxin can also traverse the intestinal barrier and induce oral adaptive immunity with evidence of circulating antibody response (PubMed:32231667). The toxin also shows hemagglutination properties thanks to the tachylectin subunit, but has no hemolytic activity (PubMed:32446810). In addition to enterotoxin activity, the toxin also acts as a neurotoxin, since an intraperitoneal injection can induce paralysis of the mice rear limbs, followed by death (PubMed:32446810)",,False
