method,split,AUROC,AUPRC,R@P95,R@P99,FPR@R95,FPR@R99,F1*,n,ablation_type,ablation_value
dim_128,test_standard,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,186,projection_dim,128
dim_128,test_hard_negative,0.9998,0.9994,1.0000,0.9565,0.0000,0.0043,0.9928,299,projection_dim,128
dim_128,test_seq_divergent,0.9838,0.9807,0.9180,0.7705,0.1205,0.2169,0.9412,144,projection_dim,128
dim_128,test_adversarial_mpnn,0.9936,0.9995,1.0000,0.9927,0.0182,0.1350,0.9909,4374,projection_dim,128
dim_256,test_standard,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.9857,186,projection_dim,256
dim_256,test_hard_negative,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.9787,299,projection_dim,256
dim_256,test_seq_divergent,0.9735,0.9726,0.8852,0.6557,0.1205,0.6145,0.9244,144,projection_dim,256
dim_256,test_adversarial_mpnn,0.9907,0.9994,0.9995,0.9807,0.0182,0.2555,0.9860,4374,projection_dim,256
dim_512,test_standard,0.9996,0.9994,1.0000,0.9710,0.0000,0.0171,0.9857,186,projection_dim,512
dim_512,test_hard_negative,0.9996,0.9986,0.9855,0.9710,0.0000,0.0174,0.9853,299,projection_dim,512
dim_512,test_seq_divergent,0.9826,0.9781,0.8525,0.6721,0.1084,0.2892,0.9268,144,projection_dim,512
dim_512,test_adversarial_mpnn,0.9969,0.9998,1.0000,0.9963,0.0073,0.0584,0.9946,4374,projection_dim,512
dim_1024,test_standard,0.9998,0.9996,1.0000,0.9710,0.0000,0.0085,0.9928,186,projection_dim,1024
dim_1024,test_hard_negative,0.9996,0.9986,1.0000,0.9565,0.0000,0.0130,0.9787,299,projection_dim,1024
dim_1024,test_seq_divergent,0.9751,0.9714,0.8852,0.6066,0.1084,0.3976,0.9231,144,projection_dim,1024
dim_1024,test_adversarial_mpnn,0.9928,0.9995,0.9998,0.9866,0.0219,0.2044,0.9885,4374,projection_dim,1024
hnr_1,test_standard,0.9988,0.9979,0.9855,0.9130,0.0085,0.0342,0.9784,186,hard_negative_ratio,1
hnr_1,test_hard_negative,0.9940,0.9809,0.8406,0.7536,0.0348,0.0783,0.9275,299,hard_negative_ratio,1
hnr_1,test_seq_divergent,0.9725,0.9615,0.7869,0.4262,0.0964,0.2289,0.9048,144,hard_negative_ratio,1
hnr_1,test_adversarial_mpnn,0.9910,0.9993,1.0000,0.9934,0.0365,0.0949,0.9917,4374,hard_negative_ratio,1
hnr_3,test_standard,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.9857,186,hard_negative_ratio,3
hnr_3,test_hard_negative,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.9787,299,hard_negative_ratio,3
hnr_3,test_seq_divergent,0.9735,0.9726,0.8852,0.6557,0.1205,0.6145,0.9244,144,hard_negative_ratio,3
hnr_3,test_adversarial_mpnn,0.9907,0.9994,0.9995,0.9807,0.0182,0.2555,0.9860,4374,hard_negative_ratio,3
hnr_5,test_standard,0.9999,0.9998,1.0000,0.9855,0.0000,0.0085,0.9928,186,hard_negative_ratio,5
hnr_5,test_hard_negative,0.9994,0.9979,1.0000,0.9275,0.0087,0.0130,0.9787,299,hard_negative_ratio,5
hnr_5,test_seq_divergent,0.9565,0.9629,0.8689,0.7705,0.2530,0.9277,0.9244,144,hard_negative_ratio,5
hnr_5,test_adversarial_mpnn,0.9930,0.9995,1.0000,0.9849,0.0109,0.2336,0.9870,4374,hard_negative_ratio,5
tau_0.05,test_standard,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.9857,186,temperature,0.05
tau_0.05,test_hard_negative,0.9997,0.9992,1.0000,0.9565,0.0000,0.0087,0.9787,299,temperature,0.05
tau_0.05,test_seq_divergent,0.9650,0.9637,0.8852,0.6557,0.1807,0.7108,0.9231,144,temperature,0.05
